timestamp,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,us_date_format
01.08.2023 18:19:16,2251,1766,485,0.003619,08/01/2023
02.08.2023 18:19:16,2251,1766,485,0.003619,08/02/2023
03.08.2023 18:19:16,2251,1766,485,0.003619,08/03/2023
07.08.2023 18:14:16,0,0,0,0.0,08/07/2023
07.08.2023 18:14:22,0,0,0,0.0,08/07/2023
08.08.2023 10:14:17,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:10,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:18,50,12,38,9.400000000000001e-05,08/08/2023
08.08.2023 10:19:45,34,11,23,6.25e-05,08/08/2023
08.08.2023 10:20:10,22,12,10,3.8e-05,08/08/2023
08.08.2023 10:20:19,43,13,30,7.950000000000001e-05,08/08/2023
08.08.2023 10:27:18,43,33,10,6.950000000000001e-05,08/08/2023
08.08.2023 10:27:25,57,52,5,8.8e-05,08/08/2023
08.08.2023 12:13:13,48,38,10,7.7e-05,08/08/2023
08.08.2023 12:13:18,62,57,5,9.55e-05,08/08/2023
16.08.2023 12:13:24,1979,1691,288,0.0031125000000000002,08/16/2023
16.08.2023 12:17:53,1180,1053,127,0.0018335,08/16/2023
16.08.2023 12:17:58,799,638,161,0.0012790000000000002,08/16/2023
18.09.2023 15:19:15,230,220,10,0.00035,09/18/2023
18.09.2023 15:19:21,279,240,39,0.00043799999999999997,09/18/2023
18.09.2023 16:12:52,119,91,28,0.00019250000000000002,09/18/2023
18.09.2023 16:13:51,171,110,61,0.000287,09/18/2023
18.09.2023 16:15:06,500,94,406,0.0009530000000000001,09/18/2023
18.09.2023 16:15:18,119,91,28,0.00019250000000000002,09/18/2023
18.09.2023 16:22:41,119,91,28,0.00019250000000000002,09/18/2023
18.09.2023 16:22:54,225,131,94,0.0003845,09/18/2023
18.09.2023 16:23:15,285,235,50,0.0004525,09/18/2023
18.09.2023 16:23:38,612,298,314,0.001075,09/18/2023
18.09.2023 16:23:56,662,626,36,0.001011,09/18/2023
18.09.2023 16:24:02,682,673,9,0.0010275,09/18/2023
18.09.2023 16:25:06,126,93,33,0.0002055,09/18/2023
18.09.2023 16:25:16,181,139,42,0.0002925,09/18/2023
18.09.2023 16:25:23,236,191,45,0.0003765,09/18/2023
18.09.2023 16:26:16,137,92,45,0.00022799999999999999,09/18/2023
18.09.2023 16:26:28,205,147,58,0.0003365,09/18/2023
18.09.2023 16:27:02,109,95,14,0.0001705,09/18/2023
18.09.2023 16:27:06,164,119,45,0.00026849999999999997,09/18/2023
18.09.2023 16:27:28,507,179,328,0.0009245,09/18/2023
18.09.2023 16:27:50,616,517,99,0.0009735000000000001,09/18/2023
18.09.2023 16:28:02,641,627,14,0.0009685000000000001,09/18/2023
18.09.2023 16:33:49,99,89,10,0.0001535,09/18/2023
18.09.2023 16:33:56,154,109,45,0.0002535,09/18/2023
18.09.2023 16:34:24,484,171,313,0.0008825,09/18/2023
18.09.2023 16:36:41,125,91,34,0.00020450000000000004,09/18/2023
18.09.2023 16:36:52,258,136,122,0.00044800000000000005,09/18/2023
18.09.2023 16:46:24,579,93,486,0.0011115,09/18/2023
